player_id,player_name,Attack,Attacking Midfield,Central Midfield,Centre-Back,Centre-Forward,Defender,Defensive Midfield,Goalkeeper,Left Midfield,Left Winger,Left-Back,Right Midfield,Right Winger,Right-Back,Second Striker,Sweeper,midfield
598700,Vladislav Melnichenko,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
598702,Egor Aksenov,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598704,Danila Ivanov,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
598706,Dmitriy Lavrishchev,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
598708,Aleksandr Ponomarev,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
598711,Daniil Arzhevitin,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
598713,Aleksandr Mosunov,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,0
598715,Evgeniy Paramonov,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
598717,Maksim Smolnikov,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
598718,Vladislav Shustov,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
598725,Zeger Beukers,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
598727,Klaas de Graaf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
598729,Hans Hartog,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
598735,Yannick Bouw,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
598740,Sergey Panyugov,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
598765,Brian Ocampo,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
598791,Tsuyoshi Watanabe,0,0,0,43,0,0,3,0,0,0,0,0,0,2,0,0,0
598806,Donald Morrison,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
598827,Ilya Korelin,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
598828,Aleksey Mamin,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
598829,Semen Morozov,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
598893,Dumitru Rogac,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
598896,Japhet Mata,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
598916,Eduardo Mingotes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
598929,Rafael Viegas,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
598945,Fotis Kokkoris,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
598947,Dimitrios Sarigiannis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598967,Fer Pina,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598972,Marthã,0,0,5,7,0,0,17,0,0,0,0,0,0,0,0,0,0
598978,Valentin Videneev,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
598979,Andrey Vlasov,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598980,Daniel Gumerov,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
598981,Vyacheslav Demin,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
598983,Daniil Lyasov,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
598985,Linar Mukhametshin,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
598986,Egor Pozdnyakov,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598989,Rem Saitgareev,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
598990,Ruslan Khaziev,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
598992,Rafael Sabino,0,2,31,0,0,0,4,0,2,0,0,0,0,0,0,0,0
598994,Marc Molloy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
599043,Daniil Bochkarev,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
599044,Valentin Solodarenko,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
599045,Vladislav Trubitsyn,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
599046,Marat Apshatsev,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599053,Gabriele Arodi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
599061,Evgeniy Yudchits,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
599116,Djordje Pantelic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
599150,Ilya Svinov,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
599153,Iñigo Alayeto,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
599189,Ivar Span,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
599193,Tomas Boer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
599194,Fariz Mesud,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
599203,Denis Makarov,0,0,0,0,0,0,0,0,0,0,0,48,26,0,0,0,0
599215,Tonni Adamsen,0,1,0,0,17,0,0,0,0,2,0,0,1,0,0,0,0
599221,Danila Popov,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599231,Ferran Jutglà,0,0,0,0,41,0,0,0,0,2,0,0,0,0,0,0,0
599263,Vicente Esquerdo,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599287,Aleksandr Golubtsov,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
599323,Igor Kostin,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
599327,Jorge Mier,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
599329,Novak Mićović,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
599335,Roman Borysevych,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
