competition_name,name,club_id,year,cup_image_url
toto-knvb-beker,Feyenoord Rotterdam,234,2016,https://tmssl.akamaized.net//images/erfolge/fix/151.png?lm=1520606999
allianz-cup,Sporting Clube de Portugal,336,2018,https://tmssl.akamaized.net//images/erfolge/fix/246.png?lm=1520606999
sydbank-pokalen,Football Club København,190,2015,https://tmssl.akamaized.net//images/erfolge/fix/95.png?lm=1461847499
dfb-pokal,RasenBallsport Leipzig,23826,2022,https://tmssl.akamaized.net//images/erfolge/fix/27.png?lm=1520606999
supercopa,Real Madrid Club de Fútbol,418,2022,https://tmssl.akamaized.net//images/erfolge/fix/93.png?lm=1520606999
trophee-des-champions,Paris Saint-Germain Football Club,583,2024,https://tmssl.akamaized.net//images/erfolge/fix/321.png?lm=1704485193
fifa-klub-wm,Manchester City Football Club,281,2023,https://tmssl.akamaized.net//images/erfolge/fix/318.png?lm=1731663333
community-shield,Manchester United Football Club,985,2013,https://tmssl.akamaized.net//images/erfolge/fix/316.png?lm=1520606999
trophee-des-champions,Paris Saint-Germain Football Club,583,2016,https://tmssl.akamaized.net//images/erfolge/fix/321.png?lm=1704485193
sfa-cup,The Celtic Football Club,371,2017,https://tmssl.akamaized.net//images/erfolge/fix/87.png?lm=1461847499
fa-cup,Wigan Athletic,1071,2013,https://tmssl.akamaized.net//images/erfolge/fix/29.png?lm=1520606999
copa-del-rey,Real Madrid Club de Fútbol,418,2014,https://tmssl.akamaized.net//images/erfolge/fix/94.png?lm=1520606999
supertaca-candido-de-oliveira,Sport Lisboa e Benfica,294,2016,https://tmssl.akamaized.net//images/erfolge/fix/337.png?lm=1520606999
uefa-champions-league,Real Madrid Club de Fútbol,418,2014,https://tmssl.akamaized.net//images/erfolge/fix/4.png?lm=1520606999
fa-cup,Arsenal Football Club,11,2017,https://tmssl.akamaized.net//images/erfolge/fix/29.png?lm=1520606999
fa-cup,Manchester City Football Club,281,2019,https://tmssl.akamaized.net//images/erfolge/fix/29.png?lm=1520606999
dfl-supercup,Borussia Dortmund,16,2019,https://tmssl.akamaized.net//images/erfolge/fix/312.png?lm=1520606999
dfl-supercup,FC Bayern München,27,2020,https://tmssl.akamaized.net//images/erfolge/fix/312.png?lm=1520606999
italy-cup,Juventus Football Club,506,2021,https://tmssl.akamaized.net//images/erfolge/fix/96.png?lm=1520606999
toto-knvb-beker,AFC Ajax Amsterdam,610,2021,https://tmssl.akamaized.net//images/erfolge/fix/151.png?lm=1520606999
europa-league,Villarreal Club de Fútbol S.A.D.,1050,2021,https://tmssl.akamaized.net//images/erfolge/fix/264.png?lm=1520606999
dfl-supercup,FC Bayern München,27,2021,https://tmssl.akamaized.net//images/erfolge/fix/312.png?lm=1520606999
italy-cup,Football Club Internazionale Milano S.p.A.,46,2022,https://tmssl.akamaized.net//images/erfolge/fix/96.png?lm=1520606999
italy-cup,Football Club Internazionale Milano S.p.A.,46,2023,https://tmssl.akamaized.net//images/erfolge/fix/96.png?lm=1520606999
dfb-pokal,FC Bayern München,27,2019,https://tmssl.akamaized.net//images/erfolge/fix/27.png?lm=1520606999
uefa-champions-league,Real Madrid Club de Fútbol,418,2022,https://tmssl.akamaized.net//images/erfolge/fix/4.png?lm=1520606999
uefa-super-cup,Manchester City Football Club,281,2023,https://tmssl.akamaized.net//images/erfolge/fix/354.png?lm=1520606999
uefa-champions-league,Liverpool Football Club,31,2019,https://tmssl.akamaized.net//images/erfolge/fix/4.png?lm=1520606999
community-shield,Arsenal Football Club,11,2023,https://tmssl.akamaized.net//images/erfolge/fix/316.png?lm=1520606999
efl-cup,Newcastle United Football Club,762,2025,https://tmssl.akamaized.net//images/erfolge/fix/47.png?lm=1520606999
uefa-super-cup,FC Bayern München,27,2013,https://tmssl.akamaized.net//images/erfolge/fix/354.png?lm=1520606999
johan-cruijff-schaal,Eindhovense Voetbalvereniging Philips Sport Vereniging,383,2023,https://tmssl.akamaized.net//images/erfolge/fix/288.png?lm=1511173147
supertaca-candido-de-oliveira,Sporting Clube de Portugal,336,2021,https://tmssl.akamaized.net//images/erfolge/fix/337.png?lm=1520606999
allianz-cup,Sporting Clube de Braga,1075,2024,https://tmssl.akamaized.net//images/erfolge/fix/246.png?lm=1520606999
uefa-super-cup,Real Madrid Club de Fútbol,418,2016,https://tmssl.akamaized.net//images/erfolge/fix/354.png?lm=1520606999
johan-cruijff-schaal,Eindhovense Voetbalvereniging Philips Sport Vereniging,383,2021,https://tmssl.akamaized.net//images/erfolge/fix/288.png?lm=1511173147
supertaca-candido-de-oliveira,Futebol Clube do Porto,720,2012,https://tmssl.akamaized.net//images/erfolge/fix/337.png?lm=1520606999
allianz-cup,Futebol Clube do Porto,720,2023,https://tmssl.akamaized.net//images/erfolge/fix/246.png?lm=1520606999
uefa-super-cup,Real Madrid Club de Fútbol,418,2014,https://tmssl.akamaized.net//images/erfolge/fix/354.png?lm=1520606999
fifa-klub-wm,FC Bayern München,27,2013,https://tmssl.akamaized.net//images/erfolge/fix/318.png?lm=1731663333
dfb-pokal,Bayer 04 Leverkusen Fußball,15,2024,https://tmssl.akamaized.net//images/erfolge/fix/27.png?lm=1520606999
fifa-klub-wm,Real Madrid Club de Fútbol,418,2014,https://tmssl.akamaized.net//images/erfolge/fix/318.png?lm=1731663333
fifa-klub-wm,Real Madrid Club de Fútbol,418,2018,https://tmssl.akamaized.net//images/erfolge/fix/318.png?lm=1731663333
johan-cruijff-schaal,Eindhovense Voetbalvereniging Philips Sport Vereniging,383,2015,https://tmssl.akamaized.net//images/erfolge/fix/288.png?lm=1511173147
fifa-klub-wm,Chelsea Football Club,631,2022,https://tmssl.akamaized.net//images/erfolge/fix/318.png?lm=1731663333
johan-cruijff-schaal,Eindhovense Voetbalvereniging Philips Sport Vereniging,383,2016,https://tmssl.akamaized.net//images/erfolge/fix/288.png?lm=1511173147
uefa-super-cup,Real Madrid Club de Fútbol,418,2024,https://tmssl.akamaized.net//images/erfolge/fix/354.png?lm=1520606999
allianz-cup,Sport Lisboa e Benfica,294,2015,https://tmssl.akamaized.net//images/erfolge/fix/246.png?lm=1520606999
europa-league,Chelsea Football Club,631,2013,https://tmssl.akamaized.net//images/erfolge/fix/264.png?lm=1520606999
kypello-elladas,Olympiakos Syndesmos Filathlon Peiraios,683,2013,https://tmssl.akamaized.net//images/erfolge/fix/39.png?lm=1461847499
europa-league,Club Atlético de Madrid S.A.D.,13,2018,https://tmssl.akamaized.net//images/erfolge/fix/264.png?lm=1520606999
italy-cup,Società Sportiva Lazio S.p.A.,398,2019,https://tmssl.akamaized.net//images/erfolge/fix/96.png?lm=1520606999
russian-super-cup,"Футбольный клуб ""Локомотив"" Москва",932,2019,https://tmssl.akamaized.net//images/erfolge/fix/468.png?lm=1511173816
community-shield,Manchester City Football Club,281,2019,https://tmssl.akamaized.net//images/erfolge/fix/316.png?lm=1520606999
community-shield,Liverpool Football Club,31,2022,https://tmssl.akamaized.net//images/erfolge/fix/316.png?lm=1520606999
russian-cup,PFK CSKA Moskva,2410,2023,https://tmssl.akamaized.net//images/erfolge/fix/196.png?lm=1520606999
russian-super-cup,AO FK Zenit Sankt-Peterburg,964,2023,https://tmssl.akamaized.net//images/erfolge/fix/468.png?lm=1511173816
russian-cup,FK Rostov,1083,2014,https://tmssl.akamaized.net//images/erfolge/fix/196.png?lm=1520606999
trophee-des-champions,Paris Saint-Germain Football Club,583,2014,https://tmssl.akamaized.net//images/erfolge/fix/321.png?lm=1704485193
dfl-supercup,Verein für Leibesübungen Wolfsburg,82,2015,https://tmssl.akamaized.net//images/erfolge/fix/312.png?lm=1520606999
ukrainian-cup,FC Shakhtar Donetsk,660,2016,https://tmssl.akamaized.net//images/erfolge/fix/171.png?lm=1461847499
dfb-pokal,Borussia Dortmund,16,2017,https://tmssl.akamaized.net//images/erfolge/fix/27.png?lm=1520606999
russian-super-cup,FK Spartak Moskva,232,2017,https://tmssl.akamaized.net//images/erfolge/fix/468.png?lm=1511173816
supertaca-candido-de-oliveira,Sport Lisboa e Benfica,294,2023,https://tmssl.akamaized.net//images/erfolge/fix/337.png?lm=1520606999
uefa-champions-league,Real Madrid Club de Fútbol,418,2017,https://tmssl.akamaized.net//images/erfolge/fix/4.png?lm=1520606999
supercopa,Real Madrid Club de Fútbol,418,2024,https://tmssl.akamaized.net//images/erfolge/fix/93.png?lm=1520606999
ukrainian-super-cup,FC Shakhtar Donetsk,660,2013,https://tmssl.akamaized.net//images/erfolge/fix/173.png?lm=1520606999
italy-cup,Società Sportiva Calcio Napoli,6195,2014,https://tmssl.akamaized.net//images/erfolge/fix/96.png?lm=1520606999
supercoppa-italiana,Juventus Football Club,506,2012,https://tmssl.akamaized.net//images/erfolge/fix/97.png?lm=1520606999
trophee-des-champions,Paris Saint-Germain Football Club,583,2018,https://tmssl.akamaized.net//images/erfolge/fix/321.png?lm=1704485193
sydbank-pokalen,Randers Fodbold Club,5724,2021,https://tmssl.akamaized.net//images/erfolge/fix/95.png?lm=1461847499
