competition_name,name,club_id,year,cup_image_url
toto-knvb-beker,Football Club Groningen,202,2015,https://tmssl.akamaized.net//images/erfolge/fix/151.png?lm=1520606999
kypello-elladas,Athlitiki Enosi Konstantinoupoleos,2441,2016,https://tmssl.akamaized.net//images/erfolge/fix/39.png?lm=1461847499
community-shield,Manchester United Football Club,985,2016,https://tmssl.akamaized.net//images/erfolge/fix/316.png?lm=1520606999
trophee-des-champions,Olympique Lyonnais,1041,2012,https://tmssl.akamaized.net//images/erfolge/fix/321.png?lm=1704485193
toto-knvb-beker,AFC Ajax Amsterdam,610,2019,https://tmssl.akamaized.net//images/erfolge/fix/151.png?lm=1520606999
russian-cup,"Футбольный клуб ""Локомотив"" Москва",932,2019,https://tmssl.akamaized.net//images/erfolge/fix/196.png?lm=1520606999
ukrainian-cup,Futbolniy Klub Dynamo Kyiv,338,2020,https://tmssl.akamaized.net//images/erfolge/fix/171.png?lm=1461847499
trophee-des-champions,Lille Olympique Sporting Club,1082,2021,https://tmssl.akamaized.net//images/erfolge/fix/321.png?lm=1704485193
copa-del-rey,Real Betis Balompié S.A.D.,150,2022,https://tmssl.akamaized.net//images/erfolge/fix/94.png?lm=1520606999
sydbank-pokalen,Fodbold Club Midtjylland,865,2022,https://tmssl.akamaized.net//images/erfolge/fix/95.png?lm=1461847499
dfl-supercup,RasenBallsport Leipzig,23826,2023,https://tmssl.akamaized.net//images/erfolge/fix/312.png?lm=1520606999
ukrainian-cup,FC Shakhtar Donetsk,660,2013,https://tmssl.akamaized.net//images/erfolge/fix/171.png?lm=1461847499
allianz-cup,Sporting Clube de Portugal,336,2022,https://tmssl.akamaized.net//images/erfolge/fix/246.png?lm=1520606999
supercopa,Real Madrid Club de Fútbol,418,2020,https://tmssl.akamaized.net//images/erfolge/fix/93.png?lm=1520606999
kypello-elladas,Panathinaikos Athlitikos Omilos,265,2024,https://tmssl.akamaized.net//images/erfolge/fix/39.png?lm=1461847499
efl-cup,Liverpool Football Club,31,2024,https://tmssl.akamaized.net//images/erfolge/fix/47.png?lm=1520606999
copa-del-rey,Valencia Club de Fútbol S. A. D.,1049,2019,https://tmssl.akamaized.net//images/erfolge/fix/94.png?lm=1520606999
uefa-conference-league,West Ham United Football Club,379,2023,https://tmssl.akamaized.net//images/erfolge/fix/856.png?lm=1639997104
sfa-cup,The Celtic Football Club,371,2024,https://tmssl.akamaized.net//images/erfolge/fix/87.png?lm=1461847499
uefa-conference-league,Associazione Sportiva Roma,12,2022,https://tmssl.akamaized.net//images/erfolge/fix/856.png?lm=1639997104
ukrainian-cup,FC Shakhtar Donetsk,660,2024,https://tmssl.akamaized.net//images/erfolge/fix/171.png?lm=1461847499
uefa-super-cup,Liverpool Football Club,31,2019,https://tmssl.akamaized.net//images/erfolge/fix/354.png?lm=1520606999
supercoppa-italiana,Football Club Internazionale Milano S.p.A.,46,2022,https://tmssl.akamaized.net//images/erfolge/fix/97.png?lm=1520606999
toto-knvb-beker,Alkmaar Zaanstreek,1090,2013,https://tmssl.akamaized.net//images/erfolge/fix/151.png?lm=1520606999
johan-cruijff-schaal,Feyenoord Rotterdam,234,2024,https://tmssl.akamaized.net//images/erfolge/fix/288.png?lm=1511173147
johan-cruijff-schaal,Eindhovense Voetbalvereniging Philips Sport Vereniging,383,2012,https://tmssl.akamaized.net//images/erfolge/fix/288.png?lm=1511173147
johan-cruijff-schaal,Feyenoord Rotterdam,234,2018,https://tmssl.akamaized.net//images/erfolge/fix/288.png?lm=1511173147
toto-knvb-beker,Eindhovense Voetbalvereniging Philips Sport Vereniging,383,2022,https://tmssl.akamaized.net//images/erfolge/fix/151.png?lm=1520606999
belgian-supercup,Royal Sporting Club Anderlecht,58,2014,https://tmssl.akamaized.net//images/erfolge/fix/488.png?lm=1511178751
belgian-supercup,Royal Sporting Club Anderlecht,58,2017,https://tmssl.akamaized.net//images/erfolge/fix/488.png?lm=1511178751
belgian-supercup,Royal Antwerp Football Club,1096,2023,https://tmssl.akamaized.net//images/erfolge/fix/488.png?lm=1511178751
belgian-supercup,Royal Sporting Club Anderlecht,58,2013,https://tmssl.akamaized.net//images/erfolge/fix/488.png?lm=1511178751
belgian-supercup,Koninklijke Racing Club Genk,1184,2019,https://tmssl.akamaized.net//images/erfolge/fix/488.png?lm=1511178751
belgian-supercup,Royale Union Saint-Gilloise,3948,2024,https://tmssl.akamaized.net//images/erfolge/fix/488.png?lm=1511178751
belgian-supercup,Club Brugge Koninklijke Voetbalvereniging,2282,2021,https://tmssl.akamaized.net//images/erfolge/fix/488.png?lm=1511178751
belgian-supercup,Club Brugge Koninklijke Voetbalvereniging,2282,2022,https://tmssl.akamaized.net//images/erfolge/fix/488.png?lm=1511178751
belgian-supercup,Royal Sporting Club Anderlecht,58,2012,https://tmssl.akamaized.net//images/erfolge/fix/488.png?lm=1511178751
belgian-supercup,Koninklijke Atletiek Associatie Gent,157,2015,https://tmssl.akamaized.net//images/erfolge/fix/488.png?lm=1511178751
belgian-supercup,Club Brugge Koninklijke Voetbalvereniging,2282,2016,https://tmssl.akamaized.net//images/erfolge/fix/488.png?lm=1511178751
belgian-supercup,Club Brugge Koninklijke Voetbalvereniging,2282,2018,https://tmssl.akamaized.net//images/erfolge/fix/488.png?lm=1511178751
johan-cruijff-schaal,Eindhovense Voetbalvereniging Philips Sport Vereniging,383,2022,https://tmssl.akamaized.net//images/erfolge/fix/288.png?lm=1511173147
fifa-klub-wm,Real Madrid Club de Fútbol,418,2023,https://tmssl.akamaized.net//images/erfolge/fix/318.png?lm=1731663333
fifa-klub-wm,Real Madrid Club de Fútbol,418,2017,https://tmssl.akamaized.net//images/erfolge/fix/318.png?lm=1731663333
fifa-klub-wm,Real Madrid Club de Fútbol,418,2016,https://tmssl.akamaized.net//images/erfolge/fix/318.png?lm=1731663333
sfa-cup,The Celtic Football Club,371,2018,https://tmssl.akamaized.net//images/erfolge/fix/87.png?lm=1461847499
allianz-cup,Sporting Clube de Braga,1075,2020,https://tmssl.akamaized.net//images/erfolge/fix/246.png?lm=1520606999
toto-knvb-beker,Eindhovense Voetbalvereniging Philips Sport Vereniging,383,2023,https://tmssl.akamaized.net//images/erfolge/fix/151.png?lm=1520606999
dfl-supercup,Bayer 04 Leverkusen Fußball,15,2024,https://tmssl.akamaized.net//images/erfolge/fix/312.png?lm=1520606999
