player_id,name,goals,assists,yellow_cards,red_cards,minutes
3960.0,0,2,1,0,0,0
3966.0,Djibril Cissé,10,5,1,0,6030
3969.0,0,1,0,0,0,0
3975.0,Domi Kumbela,13,6,8,0,5130
3979.0,Iker Casillas,1,1,9,0,22590
3989.0,Dmitriy Sychev,4,2,3,0,1980
3995.0,Gary O'Neil,1,4,9,1,4770
4009.0,0,1,2,0,0,0
4010.0,Dirk Kuyt,72,37,18,0,17370
4018.0,Daniel Baier,6,13,52,0,23760
4042.0,Brad Jones,1,0,3,0,10800
4049.0,0,2,0,0,0,0
4052.0,0,1,0,0,0,0
4055.0,Dean Marney,1,2,7,0,1890
4058.0,Lee Barnard,2,0,0,0,180
4063.0,Stewart Downing,14,21,5,0,13500
4070.0,Liam Ridgewell,1,4,12,0,5760
4072.0,Peter Crouch,37,20,21,0,16920
4075.0,Luke Moore,3,2,0,0,2700
4086.0,Darren Ambrose,7,0,1,0,1170
4095.0,Matthew Kilgallon,2,0,3,0,2880
4106.0,0,2,2,0,0,0
4114.0,0,2,0,0,0,0
4115.0,Chris Baird,2,2,7,0,3870
4121.0,0,1,2,0,0,0
4158.0,Anthony Lurling,8,6,8,0,4950
4184.0,0,1,0,0,0,0
4188.0,Ricardo Quaresma,46,68,61,2,21600
4192.0,Rafael van der Vaart,20,24,20,0,10350
4205.0,Bobby Zamora,7,7,5,1,4860
4216.0,Florent Sinama-Pongolle,2,3,4,1,2340
4217.0,Anthony Le Tallec,22,10,15,1,9450
4219.0,David Fox,1,2,0,0,450
4241.0,Joleon Lescott,4,3,8,0,11340
4248.0,Diego,25,26,25,1,12330
4257.0,Samuel Eto'o,91,37,23,0,18810
4267.0,Tim Howard,1,1,8,1,12870
4276.0,Carlos Tevez,67,35,21,0,12780
4277.0,Philippe Senderos,2,1,18,0,5220
4311.0,Maarten Stekelenburg,1,0,4,0,10350
4314.0,Cristian Chivu,1,1,3,1,1350
4315.0,Johnny Heitinga,5,1,11,0,5580
4316.0,Petri Pasanen,2,0,4,0,4050
4317.0,Maxwell,13,21,6,0,15750
4321.0,Steven Pienaar,8,14,21,0,8640
4323.0,Jelle Van Damme,13,20,52,1,14040
4327.0,Nourdin Boukhari,2,4,4,0,2520
4338.0,Wilfred Bouma,1,2,2,0,2700
4344.0,Michael Lamey,1,0,6,0,2070
4357.0,Klaas-Jan Huntelaar,120,40,39,1,25830
4359.0,Adil Ramzi,2,0,2,0,1260
4360.0,Arjen Robben,89,73,11,0,17460
4361.0,Dennis Rommedahl,4,6,4,0,2790
4377.0,Thomas Buffel,31,41,33,0,19260
4380.0,Robin van Persie,110,35,25,1,20520
4383.0,Johan Elmander,16,11,17,1,10350
4403.0,Daniel Jensen,3,10,18,0,5670
4405.0,0,2,1,0,0,0
4408.0,Santi Kolk,2,2,1,0,1170
4410.0,Marcel Seip,6,0,7,0,2880
4415.0,Tim Cornelisse,1,2,3,0,1800
4424.0,Nicky Hofs,2,3,2,0,1800
4425.0,Theo Janssen,6,13,7,1,4140
4429.0,Matthew Amoah,2,0,1,0,1620
4449.0,0,1,0,0,0,0
4451.0,Orlando Engelaar,3,0,0,0,2250
4452.0,Robbie Haemhouts,11,6,3,0,6480
4456.0,Arne Slot,1,1,0,0,1350
4491.0,0,1,0,0,0,0
4517.0,Jeffrey Leiwakabessy,1,3,3,0,4320
4520.0,Peter Wisgerhof,2,0,2,0,1890
4531.0,Frank Demouge,10,7,6,2,2880
4533.0,Anouar Hadouir,6,6,20,1,8910
4538.0,Theo Zwarthoed,1,1,2,0,4500
4542.0,0,2,0,0,0,0
4563.0,Joris Mathijsen,1,3,10,1,6480
4570.0,Denny Landzaat,1,0,1,0,1260
4592.0,Ji-sung Park,2,8,2,0,4500
4601.0,0,1,0,0,0,0
4607.0,Roel Brouwers,3,2,12,0,7290
4624.0,Jos Hooiveld,4,1,10,0,5220
4633.0,0,1,0,0,0,0
4634.0,Arnold Kruiswijk,1,2,20,0,11430
4638.0,Joost Broerse,8,3,14,1,8460
4644.0,0,2,1,0,0,0
4656.0,0,1,0,0,0,0
4657.0,0,1,0,0,0,0
4672.0,Nigel de Jong,8,3,31,1,11520
4673.0,Wesley Sneijder,41,40,30,0,14850
4676.0,Cedric van der Gun,6,3,4,0,3780
4678.0,Markus Berger,2,1,17,0,7020
4687.0,Aaron Hunt,32,24,12,0,14580
4691.0,Peter Niemeyer,4,2,29,0,8100
4698.0,Stijn Schaars,5,13,17,0,11880
4740.0,Daniel Van Buyten,2,1,4,0,3780
4742.0,Christophe Lepoint,25,24,36,1,19800
4750.0,Kenny Miller,27,14,3,1,8550
4763.0,Bo Storm,3,0,0,0,900
4774.0,0,1,1,0,0,0
4793.0,Steve von Bergen,1,0,6,1,3150
4796.0,Kader Mangane,5,4,21,0,8010
4799.0,0,1,0,0,0,0
4811.0,Hilton,10,8,32,6,26190
4822.0,0,2,0,0,0,0
4843.0,0,1,0,0,0,0
4873.0,Armand Deumi,1,0,4,0,1980
4876.0,0,4,0,0,0,0
4879.0,0,10,7,0,0,0
4902.0,Lamine Diarra,23,12,3,0,6750
4911.0,0,2,1,0,0,0
4945.0,0,1,0,0,0,0
4948.0,0,1,1,0,0,0
4977.0,0,3,0,0,0,0
4978.0,0,1,0,0,0,0
4979.0,0,1,6,0,0,0
5012.0,0,4,0,0,0,0
5017.0,Niklas Moisander,14,12,53,2,24390
5023.0,Gianluigi Buffon,1,0,3,2,28080
5077.0,0,24,3,0,0,0
5169.0,Hélder Postiga,25,5,16,0,8550
5229.0,0,2,1,0,0,0
5245.0,Alexandru Gatcan,13,13,77,1,20430
5283.0,Éric Abidal,1,0,6,0,4140
5285.0,Patrice Evra,10,20,32,0,17190
